,frame_number,gender,emotion,year,movie_name
598,251,man,angry,2015,katti_batti
599,88,man,surprise,2015,katti_batti
600,224,woman,angry,2015,katti_batti
601,211,man,happy,2015,katti_batti
602,86,man,angry,2015,katti_batti
604,59,woman,angry,2015,katti_batti
605,210,man,sad,2015,katti_batti
606,176,woman,surprise,2015,katti_batti
607,212,woman,sad,2015,katti_batti
608,250,man,sad,2015,katti_batti
609,90,man,surprise,2015,katti_batti
610,63,woman,sad,2015,katti_batti
611,54,man,sad,2015,katti_batti
612,225,woman,happy,2015,katti_batti
613,138,man,fear,2015,katti_batti
614,56,man,happy,2015,katti_batti
615,109,man,happy,2015,katti_batti
616,74,man,happy,2015,katti_batti
617,190,woman,happy,2015,katti_batti
619,83,man,surprise,2015,katti_batti
620,248,man,angry,2015,katti_batti
621,133,woman,sad,2015,katti_batti
622,87,man,surprise,2015,katti_batti
623,87,man,sad,2015,katti_batti
624,65,man,sad,2015,katti_batti
626,208,man,surprise,2015,katti_batti
627,257,man,sad,2015,katti_batti
631,101,man,sad,2015,katti_batti
632,101,man,fear,2015,katti_batti
634,73,man,happy,2015,katti_batti
635,189,man,sad,2015,katti_batti
636,57,man,happy,2015,katti_batti
637,258,man,sad,2015,katti_batti
638,72,woman,surprise,2015,katti_batti
639,139,man,sad,2015,katti_batti
642,70,man,angry,2011,loot
643,53,woman,happy,2011,loot
644,12,man,angry,2011,loot
646,42,woman,angry,2011,loot
647,42,man,angry,2011,loot
648,66,man,angry,2011,loot
651,41,man,angry,2011,loot
652,10,man,sad,2011,loot
655,112,woman,sad,2011,loot
656,122,man,sad,2013,himmatwala
657,85,man,fear,2013,himmatwala
658,85,man,angry,2013,himmatwala
659,28,man,angry,2013,himmatwala
660,111,man,happy,2013,himmatwala
661,58,man,angry,2013,himmatwala
662,128,man,angry,2013,himmatwala
663,15,man,sad,2013,himmatwala
664,125,man,angry,2013,himmatwala
665,76,woman,sad,2013,himmatwala
666,120,man,angry,2013,himmatwala
668,104,man,happy,2013,himmatwala
669,106,woman,fear,2013,himmatwala
670,106,man,angry,2013,himmatwala
671,26,man,angry,2013,himmatwala
672,89,man,angry,2013,himmatwala
673,74,man,disgust,2013,himmatwala
675,77,man,angry,2013,himmatwala
676,27,man,angry,2013,himmatwala
677,65,man,happy,2013,himmatwala
678,50,man,happy,2013,himmatwala
679,50,woman,fear,2013,himmatwala
682,64,man,happy,2013,himmatwala
683,79,man,sad,2013,himmatwala
685,58,man,surprise,2016,a_flying_jatt
686,30,man,angry,2016,a_flying_jatt
688,54,woman,happy,2016,a_flying_jatt
